Navn,Beskrivelse,Linjer,Indvidet,Type,Elevator
Bella Center,"Lige ved siden af stationen ligger, det store konferencecenter Bella, hvor der afholdes alt lige fra topmøder til messer og kræmmermarkeder. I samme konferencekompleks finder du hotellet Bella Sky, der med sine to hældende tårne og sort-hvidmønstrede facader er et eksempel på den nye eksperimenterende arkitektur, som findes i Ørestad. Ikke langt fra Bella Sky ligger boligbyggeriet VM Bjerget, som kort efter sin færdiggørelse i 2008 modtog prisen som verdens bedste boligbyggeri på World Architecture Fair i Barcelona.",M1 og M2,Oktober 2002,Overjordisk,En
Ørestad,"Man kan ikke sige Ørestad uden også at sige Field’s. Der er tale om Skandinaviens største shoppingcenter med et utal af butikker. Ørestad er en ny bydel, der præges af moderne, innovativ arkitektur til både beboelse og erhverv. Blandt byggerierne findes Crowne Plaza Copenhagen Towers, som er den første CO2-neutrale hotelbygning i Danmark. Ikke langt fra stationen finder du også Københavns nye multifunktionelle arena, Royal Arena, som siden åbningen i 2017 allerede har lagt scene til mange af verdens største kunstnere, og dannet rammen om store sportsbegivenheder som verdensmesterskaberne i håndbold og ishockey.",M1 og M2 samt S-tog,Oktober 2002,Overjordisk,En
Vestamager,"På yderstationen Vestamager Station møder linjen det 2000 hektar store fredede naturområde Kalvebod Fælled. Intet andet sted i Europa finder du et naturområde af denne størrelse så tæt på en storby. Tæt på stationen skyder Ørestads nybyggede lejlighedskomplekser op langs med metroskinnerne sammen med den moderne og anmelderroste beboelsesbygning 8-tallet. Den store bygning ligger som et bjerg i landskabet, inden de store, flade græsarealer overtager scenen. Tæt på stationen finder du også Naturcenter Amager, hvor du kan blive klogere på dyr og natur eller leje cykler, hvis du ønsker at opleve Kalvebod Fælled på to hjul.",M1 og M2,Oktober 2002,Overjordisk,En
Marmorkirken,"Metrostationen Marmorkirken ligger ikke blot ved siden af den smukke gamle kirke – den placerer sig også i midten af et Københavns ældste kvarterer, hvor store københavnske seværdigheder som Amalienborg Slotsplads, Langelinie og Kongens Have ligger inden for få minutters gang. Derudover byder området også på en række museer, deriblandt Designmuseum Danmark, Davids Samling, Amalienborgmuseet og Medicinsk Museion. Under jorden er væggene på Marmorkirkens metrostation beklædt med sandfarvede kalkstenspaneler i en varm og gylden farve, som er inspireret af de palæer, der ligger over jorden. Sandstenen er kendetegnet ved at indeholde små fossiler, der er millioner af år gamle – og det kan både være forstenede søpindsvin eller blæksprutter. Særligt for metrostationen under Marmorkirken er stationens dybde. Når du står på stationens nederste perron, befinder du dig 30 meter under jordens overflade.",M3 og M4,i slutningen af september 2019,Underjordisk,To
Gammel Strand,"Skråt over for metrostationen på Gammel Strand ligger Christiansborg, hvor det danske Folketing til dagligt begår sig. Gammel Strand er en gammel havnepromenade, hvor velbesøgte restauranter, cocktailbarer og caféer ligger side om side. Området omkring Gammel Strand bærer også præg af Københavns hovedpulsåre Strøget, der også løber forbi den nærliggende Højbro Plads. Mellem Christiansborg og Gammel Strand finder du det store græsk-mytologiske Thorvaldsens Museum. Under jorden er stationens vægge beklædt med hvide keramiske plader, som, når de udsættes for kunstlys, afføder et levende lysspil. Lysspillet er en hilsen til sollyset i vandoverfladen i Gammel Strands kanal, der løber lige ved siden af stationen.",M3 og M4,i slutningen af september 2019,Underjordisk,To
Rådhuspladsen,"Tag Metroen direkte til en af Københavns største og mest prominente pladser. Stationen befinder sig naturligvis lige ved siden af Københavns Rådhus, som også er dér, hvor Københavns hovedpulsåre, Strøget, begynder med butikker så langt øjet rækker. Rådhuspladsen er også samlingsstedet, når de store danske sportspræstationer skal hædres, og når danskerne samles for at skyde nytåret ind ved midnat.Rådhuspladsen har mange forskellige udtryk afhængigt af tidspunktet på dagen. Om morgenen er der stille og roligt, i løbet af eftermiddagen besøges pladsen især af turister, og om aftenen tiltrækker pladsen unge mennesker fra Københavns byliv. Under jorden er væggene beklædt med funklende mørkt glas, som skal reflektere byens farverige liv, neonlys i natten, billygter i den våde asfalt og lysaviser på tagene. Det er om aftenen, at Rådhuspladsen kommer til sin fulde ret.",M3 og M4,29. september 2019,Underjordisk,To
København H,"Metrostationen ligger lige op ad Københavns Hovedbanegårds smukke gamle terminalsbygning, hvor IC-, Regional og Øresundstog blander sig med S-tog. En gangtunnel er etableret og forbinder den eksisterende station med metrostationen, hvilket gør det nemt at skifte mellem metro og de øvrige togperroner. Under jorden er metrostationens vægge beklædt med røde keramiske paneler ligesom væggene på Nørrebro og Østerport. Farven er en hilsen til S-togene, som du kan skifte til på disse stationer. Fra metrostationen tager det kun få minutters gang at nå til store attraktioner som forlystelsesparken Tivoli, Ny Carlsberg Glyptotek eller Rådhuspladsen, hvorfra du også kan slentre videre ad Strøget. Tæt på stationen finder du også en af Vesterbros hovedpulsårer, Istedgade, der giver liv til et pulserende natteliv fyldt med barer og restauranter. I samme område finder du også det populære madmekka, Kødbyen, hvor gamle industrihaller i dag bruges som hippe restauranter og danseglade natklubber.",M3/M4 samt S-tog og regionaltog.,29. september 2019,Underjordisk station,To
Enghave Plads,"For enden af Istedgade ligger Enghave Plads som en smørklat mellem cafeer, barer, restauranter og specialbutikker. Lige ved siden af metrostationen ligger det grønne åndehul med bemandet legeplads, Enghave Park, og kun få minutters gang fra spillestedet VEGA eller det nybyggede Carlsberg Byen. Begiver du dig under jorden, vil du blive mødt af stationsrummets røde, håndlavede teglsten, der hænger som en hilsen til de mange gamle murstensbygninger, som befinder sig i området omkring Enghave Plads.",M3,i slutningen af september 2019,Underjordisk station,To
Frederiksberg Allé,"Fra Frederiksberg Have til Vesterbrogade strækker den lange allé af store lindetræer sig. Mellem træerne finder du hyggelige cafeer og kvalitetsbutikker som Frederiksberg Chokolade eller det nybyggede madhus og boligkompleks, som placerer sig lige over selve metrostationen.En spytklat fra stationen finder du også Betty Nansen Teateret, og inden for få minutters gang kan du nå til gader som Gammel Kongevej eller Værnedamsvej eller besøge Storm P. Museet eller museet for Humor og Satire, Alhambra. Frederiksberg Allés grønne islæt er også trukket med ned, hvor den grønne farve pryder stationsrummets vægge.",M3,i slutningen af september 2019,Underjordisk,To
Aksel Møllers Have,"Tager du Metroen til Aksel Møllers Have tager rulletrapperne dig hele vejen til det frederiksbergske café- og butiksliv, der udspiller sig på Godthåbsvej, som løber forbi stationen. Aksel Møllers Have er en af Frederiksbergs grønne byoaser, og stationen ligger få minutters gang fra både Frederiksberg Svømmehal, Frederiksberg Hospital og Frederiksberg Campus også kaldet Landbohøjskolen, hvis smukke universitetshave danner perfekte rammer for en god gåtur i det grønne. I stationsrummet under Aksel Møllers Have er væggene beklædt med teglsten i brunlige caffe latte-farver, der er inspireret af bygningen Metronomen, et kulturhus, der i dag lægger hus til koncerter og øvrige kulturarrangementer.",M3,i slutningen af september 2019,Underjordisk station,To
Nuuks Plads,"Metrostationen ligger på Jagtvej nær Rantzausgade. Over stationen finder du det gamle Landsarkiv, som stationsrummets vægbeklædning også er inspireret af, hvorfor væggene prydes af teglsten i sort, grå og brun skiffer. En kort gåtur fra stationen ligger Nørrebroparken, hvor der er en stor legeplads, fodboldbaner og Stefansgade pulserende cafémiljø løbende langs parken. I den nærliggende Jægersborggade ligger hyggelige små specialbutikker og luksusrestauranter side om side. Få minutters gang fra stationen finder du også grønne åndehuller som Assistens Kirkegård og Hans Tavsens park.",M3,i slutningen af september 2019,Underjordisk,To
Nørrebros Runddel,"Metrostationen ligger lige ved Nørrebrogade og i det ene hjørne af Assistens Kirkepård. Her kan du enten begive dig ud i Nørrebros gader, eller du kan slentre en tur på den historiske kirkegård. Under jorden har vægbeklædningen gullige teglsten ladet sig inspirere af områdets teglstensbygninger og de mange monumenter på Assistens Kirkegård. Metrostationen har som den eneste station ét stort ovenlys i stedet for flere små som tilfældet på andre stationer. Når solen står rigtigt, vil lyset derfor vælte ned over dig, når du befinder dig i stationsrummet på Nørrebros Runddel.",M3,i slutningen af september 2019,Underjordisk,To
Nørrebro,"På grænsen mellem Nørrebro og Nordvest finder du Nørrebro Station, som indtil 2019 har fungeret som S-togstation, men som nu har fået selskab af en underjordisk metrostation. Stationen ligger lige i nærheden af Den Røde Plads, hvor Nørrebros lokale står på skateboard, spiller musik, afholder loppemarkeder og meget mere. På tre af Cityringens stationer bliver stationsrummenes vægge beklædt med røde keramiske plader, hvoraf Nørrebro er den ene. Den røde farve er en hilsen til S-togene, som derfor også kan findes på metrostationerne København H og Østerport, hvor der ligeledes kan skiftes mellem metro og S-tog.",M3,i slutningen af september 2019,Underjordisk,To
Skjolds Plads,"Metrostationen ligger nær Tagensvej tæt på den kommende Niels Bohr bygning samt det nuværende Nørre Campus, der er en del af Copenhagen Science City, som rummer Københavns Universitets Sundheds- og Natur og Biovidenskabelige Fakulteter. Få minutters gang fra stationen finder du det aktive kulturhus Osramhuset, mens du også kan komme hurtigt hen til den hyggelige Balders Plads, hvor der ofte afholdes loppemarkeder og jazz-koncerter. I stationsrummet under Skjolds Plads består vægbeklædningen af vinklede paneler af strukturglas med en sølvfarvet bagside, som reflekterer lyset og fylder rummet med et sølvfarvet skær. Legen med lyset er en hilsen til områdets naturvidenskabelige miljø, hvor lys og naturvidenskab til daglig går hånd i hånd.",M3,i slutningen af september 2019,Underjordisk,To
Vibenshus Runddel,"Lige ved krydset mellem Jagtvej og Nørre Allé ligger Vibenshus Runddels metrostation. Stationen er nabo til en af Københavns største parker, Fælledparken, der med sine store, grønne områder danner rammen for et idrætsengageret, farverigt lokalmiljø. Mange løbeglade københavnere jogger rundt i Fælledparken, som også huser flere fodboldbaner og et udendørs træningsanlæg samt det store fodboldstadion, Telia Parken, hvor F.C. Københavns ’løver’ har hjemmebane. Den farverige sammensætning af Østerbros lokalmiljø er også taget med ned under jorden, hvor stationsrummets vægbeklædning prydes af lister i alverdens farver.",M3,i slutningen af september 2019,Underjordisk,To
Poul Henningsens Plads,"Stationen ved Poul Henningsens Plads ligger midt på Østerbro og er placeret midt mellem store, lokale omdrejningspunkter som Svanemøllehallen, Østre Gasværk Teater, Idrætshuset og Østerbro Stadion. Når du træder ned i stationsrummet på Poul Henningsens Plads, mødes du af et markant vægmønster, hvor keramiske plader i to nuancer af grå møder hinanden i skiftevis lodrette og vandrette flader. Vægmønstret er stærkt inspireret af metrostationens berømte nabobygning Øbrohus, som er kendt for sit særlige facademønster.",M3,29. september 2019,Underjordisk,To
Trianglen,"Over jorden løber trafikken langs Østerbrogade og Blegdamsvej, mens metroen stopper 20 meter under jorden. Når du træder ud i stationsrummet, bliver du reflekteret af stationens vægbeklædning, som består af glasplader med små striber af spejlrefleks. På den måde varierer stationens udsmykning alt efter, hvem der er i rummet. På dage, hvor F.C. København spiller kampe i den nærliggende Telia Parken, vil rummet være hvidt og blåt, og 1. maj vil rummet farves rødt af svajende faner, når Arbejdernes Internationale Kampdag afholdes i Fælledparken. På travle tidspunkter vil tusindvis af forskellige tøjfarver spejle sig i glasset, og på rolige dage vil væggene fremstå enkle og elegante. Stationen skal vise Østerbrokvarterets skiftende puls.",M3,i slutningen af september 2019,Underjordisk,To
Østerport,"Metrostationen ligger på Oslo Plads, som placerer sig uhyre tæt på Østre Anlægs nordlige ende. Stationen befinder sig inden for få minutters gang til smukke københavnske steder som det gamle fæstningsanlæg Kastellet eller de gule militærboligkvarter Nyboder. Tager du metroen til Østerport, bliver du – ligesom på Nørrebro og København H – mødt af røde keramiske paneler, der viser, at du kan skifte til DSB's tog og S-tog. Fra metrostationens trapper kan du hurtigt nå de øvrige transportformer på Østerport station. I starten af 2021 forventes forbindelsen via metrostationens trappe til fortovet foran Østerport Station at være klar til at lede passagerer nemmere og hurtigere til tog og S-tog. Indtil da, er der etableret en midlertidig trappe, som forbinder gangtunnelen fra metrostationen til Oslo Plads ved Østbanegade.",M3/M4 samt S-tog og regionaltog.,september 2019,Underjordisk,To
Nordhavn,"Nordhavn station er M4-linjens første stop efter Østerport og det første metrostop i den nye bydel Nordhavn. Herfra kører toget videre til linjens endestation Orientkaj.Metrostationen er placeret ud mod det centrale bykvarter Århusgade ved Kalkbrænderihavnsgade. I Århusgadekvarteret finder man et bredt udvalg af spændende aktiviteter og kulturelle oplevelser til alle tider af året - fra badning i Nordhavns havnepromenade Sandkaj og friluftsaktiviteter i 24 meters højde på Konditaget Lüders til filmoplevelser i bydelens bæredygtige biograf.Skift til S-togNordhavn har en varm og dyb rød farve, der signalerer trafik, transport og transit. Den røde farve går igen på de metrostationer, hvor der er mulighed for at skifte til S-tog. Det gælder Nordhavn, Østerport, Nørrebro og København H. Den dybe røde farve er derfor en hilsen til S-togene og DSB.",M4 og S-tog,I slutningen af marts 2020,Underjordisk,To
Orientkaj,"Orientkaj station er det sidste stop på M4-linjen og dermed også metroens endestation i den nye bydel Nordhavn. Orientkaj er en højbanestation placeret lige ud til Orientkajs havnebassin.Metrostationen får et lokalt arkitektonisk præg. Bydelen og bygningerne ved stationen er planlagt som Den Hvide By, og derfor er stationen udført med hvide mosaikker på trapper og elevator, mens selve stationsrummet fremstår hvidt indvendigt og med en udvendig beklædning i lyst aluminium, der spejler himlen. Højbanen i Nordhavn vil senere kunne forlænges til f.eks. Ydre Nordhavn. Læs om mulige scenarier. ",M4,I slutningen af marts 2020,Højbane,To
Havneholmen,"Havneholmen er en af de fem kommende metrostationer i Sydhavn og åbner i 2024. Metrostationen vil ligge på det tidligere parkeringsområde bag Fisketorvet.  Det forventes, at Fisketorvets kommende udbyning vil danne et tag over udgangen til metrostationen, så stationen vil ligge under en bygning ligesom metrostationen Frederiksberg Allé.",M3,i slutningen af september 2019,Underjordisk,To
Enghave Brygge,"Enghave Brygge er en af de fem kommende metrostationer i Sydhavn, som åbner i 2024. Det er også herfra, at tunnelboremaskinerne vil bore fra 2020.Stationen vil ligge i et område, som er under stor udvikling disse år med mange nye boliger på vej. ",,,,
Sluseholmen,"Sluseholmen er en af de fem kommende metrostationer i Sydhavn, som åbner i 2024. Stationen vil ligge for enden af Fordgraven i et område, som er under stor udvikling disse år med mange nye boliger og erhvervsbygninger på vej. ",,,,
Ny Ellebjerg,"Ny Ellebjerg er en af de fem kommende metrostationer i Sydhavn, som åbner i 2024. Stationen vil ligge tæt på S-togs- og regionaltogslinjerne og udgøre et af de største trafikale knudepunkter i hovedstaden i fremtiden. ",,,,
Mozarts Plads,"Mozarts Plads er en af de fem kommende metrostationer i Sydhavn, som åbner i 2024. Stationen vil ligge i udkanten af pladsen, så der atter er plads til ophold i området omkring stationen. ",,,,
